file_name, maze_dim, upper_benchmark, lower_benchmark, score
./generated_mazes/18/maze_63_ub-31.6_lb-20.8.txt, 18, 31.6, 20.8, 18.867
./generated_mazes/18/maze_64_ub-32.6_lb-21.8.txt, 18, 32.6, 21.8, 1033.33333333
./generated_mazes/18/maze_65_ub-31.6_lb-20.8.txt, 18, 31.6, 20.8, 10.933
./generated_mazes/18/maze_66_ub-35.6_lb-24.8.txt, 18, 35.6, 24.8, 24.700
./generated_mazes/18/maze_67_ub-40.6_lb-29.8.txt, 18, 40.6, 29.8, 27.733
./generated_mazes/18/maze_68_ub-35.6_lb-24.8.txt, 18, 35.6, 24.8, 22.500
./generated_mazes/18/maze_69_ub-33.6_lb-22.8.txt, 18, 33.6, 22.8, 18.867
./generated_mazes/18/maze_70_ub-34.6_lb-23.8.txt, 18, 34.6, 23.8, 21.667
./generated_mazes/18/maze_71_ub-33.6_lb-22.8.txt, 18, 33.6, 22.8, 20.500
./generated_mazes/18/maze_72_ub-34.6_lb-23.8.txt, 18, 34.6, 23.8, 16.100
./generated_mazes/18/maze_73_ub-32.6_lb-21.8.txt, 18, 32.6, 21.8, 17.267
./generated_mazes/18/maze_74_ub-31.6_lb-20.8.txt, 18, 31.6, 20.8, 16.100
./generated_mazes/18/maze_75_ub-31.6_lb-20.8.txt, 18, 31.6, 20.8, 13.067
./generated_mazes/18/maze_76_ub-30.6_lb-19.8.txt, 18, 30.6, 19.8, 10.867
./generated_mazes/18/maze_77_ub-32.6_lb-21.8.txt, 18, 32.6, 21.8, 22.600
./generated_mazes/18/maze_78_ub-32.6_lb-21.8.txt, 18, 32.6, 21.8, 22.100
./generated_mazes/18/maze_79_ub-34.6_lb-23.8.txt, 18, 34.6, 23.8, 22.000
./generated_mazes/18/maze_80_ub-33.6_lb-22.8.txt, 18, 33.6, 22.8, 19.833
./generated_mazes/18/maze_81_ub-30.6_lb-19.8.txt, 18, 30.6, 19.8, 15.433
./generated_mazes/18/maze_82_ub-32.6_lb-21.8.txt, 18, 32.6, 21.8, 19.867
./generated_mazes/18/maze_83_ub-31.6_lb-20.8.txt, 18, 31.6, 20.8, 22.533
./generated_mazes/18/maze_84_ub-35.6_lb-24.8.txt, 18, 35.6, 24.8, 19.467
./generated_mazes/18/maze_85_ub-32.6_lb-21.8.txt, 18, 32.6, 21.8, 16.233
./generated_mazes/18/maze_86_ub-37.6_lb-26.8.txt, 18, 37.6, 26.8, 20.833
./generated_mazes/18/maze_87_ub-38.6_lb-27.8.txt, 18, 38.6, 27.8, 23.500
./generated_mazes/18/maze_88_ub-32.6_lb-21.8.txt, 18, 32.6, 21.8, 19.333
./generated_mazes/18/maze_89_ub-32.6_lb-21.8.txt, 18, 32.6, 21.8, 14.833
./generated_mazes/18/maze_90_ub-30.6_lb-19.8.txt, 18, 30.6, 19.8, 19.067
./generated_mazes/18/maze_91_ub-34.6_lb-23.8.txt, 18, 34.6, 23.8, 22.900
./generated_mazes/18/maze_92_ub-29.6_lb-18.8.txt, 18, 29.6, 18.8, 14.167
./generated_mazes/18/maze_93_ub-30.6_lb-19.8.txt, 18, 30.6, 19.8, 18.400
./generated_mazes/18/maze_94_ub-32.6_lb-21.8.txt, 18, 32.6, 21.8, 17.700
./generated_mazes/18/maze_95_ub-27.6_lb-16.8.txt, 18, 27.6, 16.8, 8.367
./generated_mazes/18/maze_96_ub-33.6_lb-22.8.txt, 18, 33.6, 22.8, 22.133
./generated_mazes/18/maze_97_ub-34.6_lb-23.8.txt, 18, 34.6, 23.8, 21.733
./generated_mazes/18/maze_98_ub-30.6_lb-19.8.txt, 18, 30.6, 19.8, 15.533
./generated_mazes/18/maze_99_ub-37.6_lb-26.8.txt, 18, 37.6, 26.8, 23.200
