file_name, maze_dim, upper_benchmark, lower_benchmark, score
./generated_mazes/12/maze_00_ub-18.6_lb-13.8.txt, 12, 18.6, 13.8, 10.367
./generated_mazes/12/maze_01_ub-25.6_lb-20.8.txt, 12, 25.6, 20.8, 19.967
./generated_mazes/12/maze_02_ub-18.6_lb-13.8.txt, 12, 18.6, 13.8, 12.867
./generated_mazes/12/maze_03_ub-18.6_lb-13.8.txt, 12, 18.6, 13.8, 10.033
./generated_mazes/12/maze_04_ub-19.6_lb-14.8.txt, 12, 19.6, 14.8, 14.900
./generated_mazes/12/maze_05_ub-18.6_lb-13.8.txt, 12, 18.6, 13.8, 10.667
./generated_mazes/12/maze_06_ub-25.6_lb-20.8.txt, 12, 25.6, 20.8, 18.533
./generated_mazes/12/maze_07_ub-16.6_lb-11.8.txt, 12, 16.6, 11.8, 7.700
./generated_mazes/12/maze_08_ub-18.6_lb-13.8.txt, 12, 18.6, 13.8, 12.100
./generated_mazes/12/maze_09_ub-20.6_lb-15.8.txt, 12, 20.6, 15.8, 14.000
./generated_mazes/12/maze_10_ub-16.6_lb-11.8.txt, 12, 16.6, 11.8, 7.433
./generated_mazes/12/maze_11_ub-20.6_lb-15.8.txt, 12, 20.6, 15.8, 14.500
./generated_mazes/12/maze_12_ub-22.6_lb-17.8.txt, 12, 22.6, 17.8, 17.367
./generated_mazes/12/maze_13_ub-19.6_lb-14.8.txt, 12, 19.6, 14.8, 10.900
./generated_mazes/12/maze_14_ub-23.6_lb-18.8.txt, 12, 23.6, 18.8, 19.367
./generated_mazes/12/maze_15_ub-15.6_lb-10.8.txt, 12, 15.6, 10.8, 9.167
./generated_mazes/12/maze_16_ub-15.6_lb-10.8.txt, 12, 15.6, 10.8, 7.367
./generated_mazes/12/maze_17_ub-16.6_lb-11.8.txt, 12, 16.6, 11.8, 11.467
./generated_mazes/12/maze_18_ub-19.6_lb-14.8.txt, 12, 19.6, 14.8, 14.600
./generated_mazes/12/maze_19_ub-17.6_lb-12.8.txt, 12, 17.6, 12.8, 8.800
./generated_mazes/12/maze_20_ub-15.6_lb-10.8.txt, 12, 15.6, 10.8, 10.367
./generated_mazes/12/maze_21_ub-15.6_lb-10.8.txt, 12, 15.6, 10.8, 7.333
./generated_mazes/12/maze_22_ub-23.6_lb-18.8.txt, 12, 23.6, 18.8, 18.333
./generated_mazes/12/maze_23_ub-16.6_lb-11.8.txt, 12, 16.6, 11.8, 10.567
./generated_mazes/12/maze_24_ub-24.6_lb-19.8.txt, 12, 24.6, 19.8, 17.233
./generated_mazes/12/maze_25_ub-17.6_lb-12.8.txt, 12, 17.6, 12.8, 10.833
./generated_mazes/12/maze_26_ub-18.6_lb-13.8.txt, 12, 18.6, 13.8, 12.600
./generated_mazes/12/maze_27_ub-19.6_lb-14.8.txt, 12, 19.6, 14.8, 13.333
./generated_mazes/12/maze_28_ub-14.6_lb-9.8.txt, 12, 14.6, 9.8, 5.900
./generated_mazes/12/maze_29_ub-15.6_lb-10.8.txt, 12, 15.6, 10.8, 8.600
./generated_mazes/12/maze_30_ub-21.6_lb-16.8.txt, 12, 21.6, 16.8, 15.900
./generated_mazes/12/maze_31_ub-19.6_lb-14.8.txt, 12, 19.6, 14.8, 14.133
./generated_mazes/12/maze_32_ub-20.6_lb-15.8.txt, 12, 20.6, 15.8, 13.400
./generated_mazes/12/maze_33_ub-18.6_lb-13.8.txt, 12, 18.6, 13.8, 13.133
./generated_mazes/12/maze_34_ub-14.6_lb-9.8.txt, 12, 14.6, 9.8, 6.200
./generated_mazes/12/maze_35_ub-18.6_lb-13.8.txt, 12, 18.6, 13.8, 16.300
./generated_mazes/12/maze_36_ub-17.6_lb-12.8.txt, 12, 17.6, 12.8, 12.333
./generated_mazes/12/maze_37_ub-16.6_lb-11.8.txt, 12, 16.6, 11.8, 9.633
./generated_mazes/12/maze_38_ub-17.6_lb-12.8.txt, 12, 17.6, 12.8, 12.600
./generated_mazes/12/maze_39_ub-18.6_lb-13.8.txt, 12, 18.6, 13.8, 13.700
./generated_mazes/12/maze_40_ub-17.6_lb-12.8.txt, 12, 17.6, 12.8, 8.700
./generated_mazes/12/maze_41_ub-21.6_lb-16.8.txt, 12, 21.6, 16.8, 13.867
./generated_mazes/12/maze_42_ub-20.6_lb-15.8.txt, 12, 20.6, 15.8, 15.300
./generated_mazes/12/maze_43_ub-17.6_lb-12.8.txt, 12, 17.6, 12.8, 9.700
./generated_mazes/12/maze_44_ub-18.6_lb-13.8.txt, 12, 18.6, 13.8, 12.133
./generated_mazes/12/maze_45_ub-18.6_lb-13.8.txt, 12, 18.6, 13.8, 11.433
./generated_mazes/12/maze_46_ub-24.6_lb-19.8.txt, 12, 24.6, 19.8, 18.567
./generated_mazes/12/maze_47_ub-18.6_lb-13.8.txt, 12, 18.6, 13.8, 11.867
./generated_mazes/12/maze_48_ub-17.6_lb-12.8.txt, 12, 17.6, 12.8, 12.700
./generated_mazes/12/maze_49_ub-23.6_lb-18.8.txt, 12, 23.6, 18.8, 16.367
./generated_mazes/12/maze_50_ub-20.6_lb-15.8.txt, 12, 20.6, 15.8, 11.833
./generated_mazes/12/maze_51_ub-19.6_lb-14.8.txt, 12, 19.6, 14.8, 10.633
./generated_mazes/12/maze_52_ub-15.6_lb-10.8.txt, 12, 15.6, 10.8, 9.733
./generated_mazes/12/maze_53_ub-23.6_lb-18.8.txt, 12, 23.6, 18.8, 17.667
./generated_mazes/12/maze_54_ub-16.6_lb-11.8.txt, 12, 16.6, 11.8, 11.533
./generated_mazes/12/maze_55_ub-24.6_lb-19.8.txt, 12, 24.6, 19.8, 16.067
./generated_mazes/12/maze_56_ub-15.6_lb-10.8.txt, 12, 15.6, 10.8, 9.900
